rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
1,baseline,1.1.1.1,32,,,10,10,10,0.0,79.21039050002037,30.286826000065048,121.97720500000742
1,baseline,1.1.1.1,500,,,10,10,10,0.0,90.57952209999485,41.0148720000052,136.57919199999924
1,baseline,1.1.1.1,1400,,,10,10,10,0.0,107.30997899999011,51.776484000015444,158.18706400000337
1,baseline,1.1.1.1,3000,,,10,10,0,100.0,,,
1,baseline,8.8.8.8,32,,,10,10,10,0.0,80.92065009997214,40.461647999904926,144.3050039999889
1,baseline,8.8.8.8,500,,,10,10,10,0.0,97.72865349998483,66.2311520000003,150.403411999946
1,baseline,8.8.8.8,1400,,,10,10,10,0.0,100.87508199998183,53.06510000002618,168.68560799991883
1,baseline,8.8.8.8,3000,,,10,10,0,100.0,,,
1,baseline,9.9.9.9,32,,,10,10,10,0.0,74.79995610001424,17.693710000003193,149.22713500004647
1,baseline,9.9.9.9,500,,,10,10,10,0.0,113.06019829996785,52.00126399995497,266.97774899992055
1,baseline,9.9.9.9,1400,,,10,10,10,0.0,111.07597629996917,65.1816349999308,149.94053100008387
1,baseline,9.9.9.9,3000,,,10,10,0,100.0,,,
