rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
4,close,,2026-09-15T16:25:15+10:00,67.219.110.24,67.219.110.24,1,56,64,49,59.17259099999228,reply
4,close,,2026-09-15T16:25:16+10:00,67.219.110.24,67.219.110.24,2,56,64,49,82.8964710000264,reply
4,close,,2026-09-15T16:25:17+10:00,67.219.110.24,67.219.110.24,3,56,64,49,106.51701200004027,reply
4,close,,2026-09-15T16:25:18+10:00,67.219.110.24,67.219.110.24,4,56,64,49,130.28242899997622,reply
4,close,,2026-09-15T16:25:19+10:00,67.219.110.24,67.219.110.24,5,56,64,49,51.046602000042185,reply
4,close,,2026-09-15T16:25:20+10:00,67.219.110.24,67.219.110.24,6,56,64,49,75.53348099997947,reply
4,close,,2026-09-15T16:25:21+10:00,67.219.110.24,67.219.110.24,7,56,64,49,98.96676100004242,reply
4,close,,2026-09-15T16:25:22+10:00,67.219.110.24,67.219.110.24,8,56,64,49,122.56401699994512,reply
4,close,,2026-09-15T16:25:23+10:00,67.219.110.24,67.219.110.24,9,56,64,49,43.949572000087755,reply
4,close,,2026-09-15T16:25:24+10:00,67.219.110.24,67.219.110.24,10,56,64,49,67.53845499997624,reply
4,close,,2026-09-15T16:25:25+10:00,108.61.212.117,108.61.212.117,1,56,64,48,65.66127999997207,reply
4,close,,2026-09-15T16:25:26+10:00,108.61.212.117,108.61.212.117,2,56,64,48,149.44800399996439,reply
4,close,,2026-09-15T16:25:27+10:00,108.61.212.117,108.61.212.117,3,56,64,48,70.77204899997014,reply
4,close,,2026-09-15T16:25:28+10:00,108.61.212.117,108.61.212.117,4,56,64,48,94.5414930000652,reply
4,close,,2026-09-15T16:25:29+10:00,108.61.212.117,108.61.212.117,5,56,64,48,118.19479700000102,reply
4,close,,2026-09-15T16:25:30+10:00,108.61.212.117,108.61.212.117,6,56,64,48,141.9105599999284,reply
4,close,,2026-09-15T16:25:31+10:00,108.61.212.117,108.61.212.117,7,56,64,48,165.63111400000707,reply
4,close,,2026-09-15T16:25:32+10:00,108.61.212.117,108.61.212.117,8,56,64,48,86.96934199997486,reply
4,close,,2026-09-15T16:25:33+10:00,108.61.212.117,108.61.212.117,9,56,64,48,110.67947799995181,reply
4,close,,2026-09-15T16:25:34+10:00,108.61.212.117,108.61.212.117,10,56,64,48,134.38543000006575,reply
4,close,,2026-09-15T16:25:35+10:00,192.53.169.225,192.53.169.225,1,56,64,50,125.6745770000407,reply
4,close,,2026-09-15T16:25:36+10:00,192.53.169.225,192.53.169.225,2,56,64,50,65.75165399999605,reply
4,close,,2026-09-15T16:25:37+10:00,192.53.169.225,192.53.169.225,3,56,64,50,70.76503899997988,reply
4,close,,2026-09-15T16:25:38+10:00,192.53.169.225,192.53.169.225,4,56,64,50,94.51003700007732,reply
4,close,,2026-09-15T16:25:39+10:00,192.53.169.225,192.53.169.225,5,56,64,50,118.32883900001434,reply
4,close,,2026-09-15T16:25:40+10:00,192.53.169.225,192.53.169.225,6,56,64,50,39.60887799996726,reply
4,close,,2026-09-15T16:25:41+10:00,192.53.169.225,192.53.169.225,7,56,64,50,63.371115999984795,reply
4,close,,2026-09-15T16:25:42+10:00,192.53.169.225,192.53.169.225,8,56,64,50,87.11504899997635,reply
4,close,,2026-09-15T16:25:43+10:00,192.53.169.225,192.53.169.225,9,56,64,50,41.24496100007491,reply
4,close,,2026-09-15T16:25:44+10:00,192.53.169.225,192.53.169.225,10,56,64,50,134.6219069999961,reply
4,midway,,2026-09-15T16:25:46+10:00,45.32.100.168,45.32.100.168,1,56,64,46,471.120969000026,reply
4,midway,,2026-09-15T16:25:47+10:00,45.32.100.168,45.32.100.168,2,56,64,46,392.5057779999861,reply
4,midway,,2026-09-15T16:25:48+10:00,45.32.100.168,45.32.100.168,3,56,64,46,416.26243500002147,reply
4,midway,,2026-09-15T16:25:49+10:00,45.32.100.168,45.32.100.168,4,56,64,46,439.98971799999254,reply
4,midway,,2026-09-15T16:25:50+10:00,45.32.100.168,45.32.100.168,5,56,64,46,370.2909410000075,reply
4,midway,,2026-09-15T16:25:51+10:00,45.32.100.168,45.32.100.168,6,56,64,46,381.57733900004587,reply
4,midway,,2026-09-15T16:25:52+10:00,45.32.100.168,45.32.100.168,7,56,64,46,408.88706900000216,reply
4,midway,,2026-09-15T16:25:53+10:00,45.32.100.168,45.32.100.168,8,56,64,46,432.6783000000205,reply
4,midway,,2026-09-15T16:25:54+10:00,45.32.100.168,45.32.100.168,9,56,64,46,456.4499100000603,reply
4,midway,,2026-09-15T16:25:55+10:00,45.32.100.168,45.32.100.168,10,56,64,46,377.8230860000349,reply
4,midway,,2026-09-15T16:25:56+10:00,108.61.201.151,108.61.201.151,1,56,64,48,331.25552499996047,reply
4,midway,,2026-09-15T16:25:57+10:00,108.61.201.151,108.61.201.151,2,56,64,48,294.98843900000793,reply
4,midway,,2026-09-15T16:25:58+10:00,108.61.201.151,108.61.201.151,3,56,64,48,333.5399589999497,reply
4,midway,,2026-09-15T16:25:59+10:00,108.61.201.151,108.61.201.151,4,56,64,48,401.8238270000438,reply
4,midway,,2026-09-15T16:26:00+10:00,108.61.201.151,108.61.201.151,5,56,64,48,323.16764299991974,reply
4,midway,,2026-09-15T16:26:01+10:00,108.61.201.151,108.61.201.151,6,56,64,48,346.89778699998897,reply
4,midway,,2026-09-15T16:26:02+10:00,108.61.201.151,108.61.201.151,7,56,64,48,370.67635699997936,reply
4,midway,,2026-09-15T16:26:03+10:00,108.61.201.151,108.61.201.151,8,56,64,48,308.9366780000091,reply
