rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
1,baseline,,2026-09-15T15:58:26+10:00,1.1.1.1,1.1.1.1,1,32,40,54,23.597804945893586,reply
1,baseline,,2026-09-15T15:58:27+10:00,1.1.1.1,1.1.1.1,2,32,40,54,9.57121409010142,reply
1,baseline,,2026-09-15T15:58:28+10:00,1.1.1.1,1.1.1.1,3,32,40,54,9.488559095188975,reply
1,baseline,,2026-09-15T15:58:29+10:00,1.1.1.1,1.1.1.1,4,32,40,54,10.241039912216365,reply
1,baseline,,2026-09-15T15:58:30+10:00,1.1.1.1,1.1.1.1,5,32,40,54,8.352116914466023,reply
1,baseline,,2026-09-15T15:58:31+10:00,1.1.1.1,1.1.1.1,6,32,40,54,10.819365037605166,reply
1,baseline,,2026-09-15T15:58:32+10:00,1.1.1.1,1.1.1.1,7,32,40,54,8.896487997844815,reply
1,baseline,,2026-09-15T15:58:33+10:00,1.1.1.1,1.1.1.1,8,32,40,54,8.940631989389658,reply
1,baseline,,2026-09-15T15:58:34+10:00,1.1.1.1,1.1.1.1,9,32,40,54,20.48469497822225,reply
1,baseline,,2026-09-15T15:58:35+10:00,1.1.1.1,1.1.1.1,10,32,40,54,8.419723948463798,reply
1,baseline,,2026-09-15T15:58:36+10:00,1.1.1.1,1.1.1.1,1,500,508,54,12.90257298387587,reply
1,baseline,,2026-09-15T15:58:37+10:00,1.1.1.1,1.1.1.1,2,500,508,54,15.851184027269483,reply
1,baseline,,2026-09-15T15:58:38+10:00,1.1.1.1,1.1.1.1,3,500,508,54,10.940673062577844,reply
1,baseline,,2026-09-15T15:58:39+10:00,1.1.1.1,1.1.1.1,4,500,508,54,12.820107978768647,reply
1,baseline,,2026-09-15T15:58:40+10:00,1.1.1.1,1.1.1.1,5,500,508,54,10.84000407718122,reply
1,baseline,,2026-09-15T15:58:41+10:00,1.1.1.1,1.1.1.1,6,500,508,54,8.893441990949214,reply
1,baseline,,2026-09-15T15:58:42+10:00,1.1.1.1,1.1.1.1,7,500,508,54,8.356545004062355,reply
1,baseline,,2026-09-15T15:58:43+10:00,1.1.1.1,1.1.1.1,8,500,508,54,9.485253016464412,reply
1,baseline,,2026-09-15T15:58:44+10:00,1.1.1.1,1.1.1.1,9,500,508,54,10.335607919842005,reply
1,baseline,,2026-09-15T15:58:45+10:00,1.1.1.1,1.1.1.1,10,500,508,54,10.371033917181194,reply
1,baseline,,2026-09-15T15:58:46+10:00,1.1.1.1,1.1.1.1,1,1400,1408,54,9.190288954414427,reply
1,baseline,,2026-09-15T15:58:47+10:00,1.1.1.1,1.1.1.1,2,1400,1408,54,15.119441086426377,reply
1,baseline,,2026-09-15T15:58:48+10:00,1.1.1.1,1.1.1.1,3,1400,1408,54,14.925207011401653,reply
1,baseline,,2026-09-15T15:58:49+10:00,1.1.1.1,1.1.1.1,4,1400,1408,54,33.4661869565025,reply
1,baseline,,2026-09-15T15:58:50+10:00,1.1.1.1,1.1.1.1,5,1400,1408,54,11.390195926651359,reply
1,baseline,,2026-09-15T15:58:51+10:00,1.1.1.1,1.1.1.1,6,1400,1408,54,8.218777948059142,reply
1,baseline,,2026-09-15T15:58:52+10:00,1.1.1.1,1.1.1.1,7,1400,1408,54,10.338132968172431,reply
1,baseline,,2026-09-15T15:58:53+10:00,1.1.1.1,1.1.1.1,8,1400,1408,54,11.577729019336402,reply
1,baseline,,2026-09-15T15:58:54+10:00,1.1.1.1,1.1.1.1,9,1400,1408,54,11.915451963432133,reply
1,baseline,,2026-09-15T15:58:55+10:00,1.1.1.1,1.1.1.1,10,1400,1408,54,10.828222031705081,reply
1,baseline,,2026-09-15T15:58:56+10:00,1.1.1.1,1.1.1.1,1,3000,3008,54,11.225447058677673,reply
1,baseline,,2026-09-15T15:58:57+10:00,1.1.1.1,1.1.1.1,2,3000,3008,54,14.140455052256584,reply
1,baseline,,2026-09-15T15:58:58+10:00,1.1.1.1,1.1.1.1,3,3000,3008,54,16.389393946155906,reply
1,baseline,,2026-09-15T15:58:59+10:00,1.1.1.1,1.1.1.1,4,3000,3008,54,14.136267942376435,reply
1,baseline,,2026-09-15T15:59:00+10:00,1.1.1.1,1.1.1.1,5,3000,3008,54,14.251725049689412,reply
1,baseline,,2026-09-15T15:59:01+10:00,1.1.1.1,1.1.1.1,6,3000,3008,54,17.213950981386006,reply
1,baseline,,2026-09-15T15:59:02+10:00,1.1.1.1,1.1.1.1,7,3000,3008,54,34.92562496103346,reply
1,baseline,,2026-09-15T15:59:03+10:00,1.1.1.1,1.1.1.1,8,3000,3008,54,10.610924917273223,reply
1,baseline,,2026-09-15T15:59:04+10:00,1.1.1.1,1.1.1.1,9,3000,3008,54,11.632882058620453,reply
1,baseline,,2026-09-15T15:59:05+10:00,1.1.1.1,1.1.1.1,10,3000,3008,54,10.84211899433285,reply
1,baseline,,2026-09-15T15:59:06+10:00,8.8.8.8,8.8.8.8,1,32,40,114,8.609980926848948,reply
1,baseline,,2026-09-15T15:59:07+10:00,8.8.8.8,8.8.8.8,2,32,40,114,8.48361395765096,reply
1,baseline,,2026-09-15T15:59:08+10:00,8.8.8.8,8.8.8.8,3,32,40,114,8.923338958993554,reply
1,baseline,,2026-09-15T15:59:09+10:00,8.8.8.8,8.8.8.8,4,32,40,114,10.967364069074392,reply
1,baseline,,2026-09-15T15:59:10+10:00,8.8.8.8,8.8.8.8,5,32,40,114,7.797957048751414,reply
1,baseline,,2026-09-15T15:59:11+10:00,8.8.8.8,8.8.8.8,6,32,40,114,7.333747111260891,reply
1,baseline,,2026-09-15T15:59:12+10:00,8.8.8.8,8.8.8.8,7,32,40,114,7.659547962248325,reply
1,baseline,,2026-09-15T15:59:13+10:00,8.8.8.8,8.8.8.8,8,32,40,114,11.169844074174762,reply
1,baseline,,2026-09-15T15:59:14+10:00,8.8.8.8,8.8.8.8,9,32,40,114,14.386606984771788,reply
1,baseline,,2026-09-15T15:59:15+10:00,8.8.8.8,8.8.8.8,10,32,40,114,14.786697924137115,reply
1,baseline,,2026-09-15T15:59:16+10:00,8.8.8.8,8.8.8.8,1,500,508,114,10.012942948378623,reply
1,baseline,,2026-09-15T15:59:17+10:00,8.8.8.8,8.8.8.8,2,500,508,114,8.4498809883371,reply
1,baseline,,2026-09-15T15:59:18+10:00,8.8.8.8,8.8.8.8,3,500,508,114,8.37379798758775,reply
1,baseline,,2026-09-15T15:59:19+10:00,8.8.8.8,8.8.8.8,4,500,508,114,8.46131204161793,reply
1,baseline,,2026-09-15T15:59:20+10:00,8.8.8.8,8.8.8.8,5,500,508,114,19.689204054884613,reply
1,baseline,,2026-09-15T15:59:21+10:00,8.8.8.8,8.8.8.8,6,500,508,114,19.904306973330677,reply
1,baseline,,2026-09-15T15:59:22+10:00,8.8.8.8,8.8.8.8,7,500,508,114,10.79515996389091,reply
1,baseline,,2026-09-15T15:59:23+10:00,8.8.8.8,8.8.8.8,8,500,508,114,9.099268936552107,reply
1,baseline,,2026-09-15T15:59:24+10:00,8.8.8.8,8.8.8.8,9,500,508,114,7.746972027234733,reply
1,baseline,,2026-09-15T15:59:25+10:00,8.8.8.8,8.8.8.8,10,500,508,114,14.263466000556946,reply
1,baseline,,2026-09-15T15:59:26+10:00,8.8.8.8,8.8.8.8,1,1400,1408,114,15.075339004397392,reply
1,baseline,,2026-09-15T15:59:27+10:00,8.8.8.8,8.8.8.8,2,1400,1408,114,10.906449053436518,reply
1,baseline,,2026-09-15T15:59:28+10:00,8.8.8.8,8.8.8.8,3,1400,1408,114,10.272860061377287,reply
1,baseline,,2026-09-15T15:59:29+10:00,8.8.8.8,8.8.8.8,4,1400,1408,114,7.926498888991773,reply
1,baseline,,2026-09-15T15:59:30+10:00,8.8.8.8,8.8.8.8,5,1400,1408,114,10.488975094631314,reply
1,baseline,,2026-09-15T15:59:31+10:00,8.8.8.8,8.8.8.8,6,1400,1408,114,11.024500941857696,reply
1,baseline,,2026-09-15T15:59:32+10:00,8.8.8.8,8.8.8.8,7,1400,1408,114,8.843339048326015,reply
1,baseline,,2026-09-15T15:59:33+10:00,8.8.8.8,8.8.8.8,8,1400,1408,114,9.903096011839807,reply
1,baseline,,2026-09-15T15:59:34+10:00,8.8.8.8,8.8.8.8,9,1400,1408,114,8.834892068989575,reply
1,baseline,,2026-09-15T15:59:35+10:00,8.8.8.8,8.8.8.8,10,1400,1408,114,9.090882958844304,reply
1,baseline,,2026-09-15T15:59:36+10:00,8.8.8.8,8.8.8.8,1,3000,0,,,timeout
