rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
1,baseline,1.1.1.1,32,,,10,10,10,0.0,90.72651339993172,47.70855999959167,133.46524799999315
1,baseline,1.1.1.1,500,,,10,10,10,0.0,73.07351670024218,33.9143300006981,120.86914800056547
1,baseline,1.1.1.1,1400,,,10,10,10,0.0,93.43032459964888,47.048921000168775,144.35901399883733
1,baseline,1.1.1.1,3000,,,10,10,0,100.0,,,
1,baseline,8.8.8.8,32,,,10,10,10,0.0,61.98517079974408,19.13903000058781,123.10705999880156
1,baseline,8.8.8.8,500,,,10,10,10,0.0,83.7341787000696,42.54205399956845,137.6460080009565
1,baseline,8.8.8.8,1400,,,10,10,10,0.0,89.68733759993484,33.954185999391484,142.9515050003829
1,baseline,8.8.8.8,3000,,,10,10,0,100.0,,,
1,baseline,9.9.9.9,32,,,10,10,10,0.0,76.68693829964468,21.85051999913412,119.58474199855118
1,baseline,9.9.9.9,500,,,10,10,10,0.0,63.832884399926115,24.294036000355845,108.62837800050329
1,baseline,9.9.9.9,1400,,,10,10,10,0.0,88.79329560004408,41.066666000915575,125.91648600027838
1,baseline,9.9.9.9,3000,,,10,10,0,100.0,,,
