rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
3,afternoon,,2026-09-15T19:25:05+10:00,1.1.1.1,1.1.1.1,1,56,64,55,63.312129001133144,reply
3,afternoon,,2026-09-15T19:25:06+10:00,1.1.1.1,1.1.1.1,2,56,64,55,87.22913799829257,reply
3,afternoon,,2026-09-15T19:25:07+10:00,1.1.1.1,1.1.1.1,3,56,64,55,111.11933699976362,reply
3,afternoon,,2026-09-15T19:25:08+10:00,1.1.1.1,1.1.1.1,4,56,64,55,32.655449000230874,reply
3,afternoon,,2026-09-15T19:25:09+10:00,1.1.1.1,1.1.1.1,5,56,64,55,56.133815998691716,reply
3,afternoon,,2026-09-15T19:25:10+10:00,1.1.1.1,1.1.1.1,6,56,64,55,80.42459600073926,reply
3,afternoon,,2026-09-15T19:25:11+10:00,1.1.1.1,1.1.1.1,7,56,64,55,104.34980200079735,reply
3,afternoon,,2026-09-15T19:25:12+10:00,1.1.1.1,1.1.1.1,8,56,64,55,128.31297699995048,reply
3,afternoon,,2026-09-15T19:25:13+10:00,1.1.1.1,1.1.1.1,9,56,64,55,49.993511000138824,reply
3,afternoon,,2026-09-15T19:25:14+10:00,1.1.1.1,1.1.1.1,10,56,64,55,19.488577001538943,reply
3,afternoon,,2026-09-15T19:25:15+10:00,8.8.8.8,8.8.8.8,1,56,64,114,77.75368399961735,reply
3,afternoon,,2026-09-15T19:25:16+10:00,8.8.8.8,8.8.8.8,2,56,64,114,15.128965000258177,reply
3,afternoon,,2026-09-15T19:25:17+10:00,8.8.8.8,8.8.8.8,3,56,64,114,23.156401999585796,reply
3,afternoon,,2026-09-15T19:25:18+10:00,8.8.8.8,8.8.8.8,4,56,64,114,46.71573899940995,reply
3,afternoon,,2026-09-15T19:25:19+10:00,8.8.8.8,8.8.8.8,5,56,64,114,70.56587300030515,reply
3,afternoon,,2026-09-15T19:25:20+10:00,8.8.8.8,8.8.8.8,6,56,64,114,94.80363399961789,reply
3,afternoon,,2026-09-15T19:25:21+10:00,8.8.8.8,8.8.8.8,7,56,64,114,18.473232001269935,reply
3,afternoon,,2026-09-15T19:25:22+10:00,8.8.8.8,8.8.8.8,8,56,64,114,40.26000299927546,reply
3,afternoon,,2026-09-15T19:25:23+10:00,8.8.8.8,8.8.8.8,9,56,64,114,63.86340300014126,reply
3,afternoon,,2026-09-15T19:25:24+10:00,8.8.8.8,8.8.8.8,10,56,64,114,87.9997039992304,reply
3,afternoon,,2026-09-15T19:25:25+10:00,9.9.9.9,9.9.9.9,1,56,64,52,125.97514900153328,reply
3,afternoon,,2026-09-15T19:25:26+10:00,9.9.9.9,9.9.9.9,2,56,64,52,47.393060000104015,reply
3,afternoon,,2026-09-15T19:25:27+10:00,9.9.9.9,9.9.9.9,3,56,64,52,71.3309599996137,reply
3,afternoon,,2026-09-15T19:25:28+10:00,9.9.9.9,9.9.9.9,4,56,64,52,89.85961599864822,reply
3,afternoon,,2026-09-15T19:25:29+10:00,9.9.9.9,9.9.9.9,5,56,64,52,48.298561001502094,reply
3,afternoon,,2026-09-15T19:25:30+10:00,9.9.9.9,9.9.9.9,6,56,64,52,40.17906099943502,reply
3,afternoon,,2026-09-15T19:25:31+10:00,9.9.9.9,9.9.9.9,7,56,64,52,64.68620799932978,reply
3,afternoon,,2026-09-15T19:25:32+10:00,9.9.9.9,9.9.9.9,8,56,64,52,88.40607700039982,reply
3,afternoon,,2026-09-15T19:25:33+10:00,9.9.9.9,9.9.9.9,9,56,64,52,112.01023000103305,reply
3,afternoon,,2026-09-15T19:25:34+10:00,9.9.9.9,9.9.9.9,10,56,64,52,33.707745000356226,reply
