rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
1,baseline,1.1.1.1,32,,,10,10,10,0.0,9.61025670003437,6.823267000072519,12.096895001377561
1,baseline,1.1.1.1,500,,,10,10,10,0.0,19.931595399975777,8.130760999847553,66.38074300099106
1,baseline,1.1.1.1,1400,,,10,10,10,0.0,18.47403259962448,8.162410998920677,64.50986100026057
1,baseline,1.1.1.1,3000,,,10,10,10,0.0,36.822569600190036,11.396059000617242,175.07604700040247
1,baseline,8.8.8.8,32,,,10,10,10,0.0,32.522629000050074,7.40247400062799,169.81025399945793
1,baseline,8.8.8.8,500,,,10,10,10,0.0,13.078998599667102,9.667174999776762,26.047429999380256
1,baseline,8.8.8.8,1400,,,10,10,10,0.0,20.31076299972483,11.081718999776058,74.46692999837978
1,baseline,8.8.8.8,3000,,,10,10,0,100.0,,,
1,baseline,9.9.9.9,32,,,10,10,10,0.0,9.527288199751638,8.631410999441869,13.135264000084135
1,baseline,9.9.9.9,500,,,10,10,10,0.0,37.76527670015639,6.822545999966678,268.3239220004907
1,baseline,9.9.9.9,1400,,,10,10,10,0.0,30.469254199852003,9.056839000550099,155.52067499993427
1,baseline,9.9.9.9,3000,,,10,10,7,30.0,96.92928185696863,14.429353001105483,335.5248660009238
