rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
1,baseline,,2026-09-15T19:29:32+10:00,1.1.1.1,1.1.1.1,1,32,40,55,8.41843099988182,reply
1,baseline,,2026-09-15T19:29:33+10:00,1.1.1.1,1.1.1.1,2,32,40,55,6.823267000072519,reply
1,baseline,,2026-09-15T19:29:34+10:00,1.1.1.1,1.1.1.1,3,32,40,55,9.01019100092526,reply
1,baseline,,2026-09-15T19:29:35+10:00,1.1.1.1,1.1.1.1,4,32,40,55,11.640037000688608,reply
1,baseline,,2026-09-15T19:29:36+10:00,1.1.1.1,1.1.1.1,5,32,40,55,11.384948998966138,reply
1,baseline,,2026-09-15T19:29:37+10:00,1.1.1.1,1.1.1.1,6,32,40,55,7.5656699991668575,reply
1,baseline,,2026-09-15T19:29:38+10:00,1.1.1.1,1.1.1.1,7,32,40,55,10.409016998892184,reply
1,baseline,,2026-09-15T19:29:39+10:00,1.1.1.1,1.1.1.1,8,32,40,55,7.65614000010828,reply
1,baseline,,2026-09-15T19:29:40+10:00,1.1.1.1,1.1.1.1,9,32,40,55,11.097970000264468,reply
1,baseline,,2026-09-15T19:29:41+10:00,1.1.1.1,1.1.1.1,10,32,40,55,12.096895001377561,reply
1,baseline,,2026-09-15T19:29:42+10:00,1.1.1.1,1.1.1.1,1,500,508,55,14.23307500044757,reply
1,baseline,,2026-09-15T19:29:43+10:00,1.1.1.1,1.1.1.1,2,500,508,55,9.542400999634992,reply
1,baseline,,2026-09-15T19:29:44+10:00,1.1.1.1,1.1.1.1,3,500,508,55,20.88259499942069,reply
1,baseline,,2026-09-15T19:29:45+10:00,1.1.1.1,1.1.1.1,4,500,508,55,66.38074300099106,reply
1,baseline,,2026-09-15T19:29:46+10:00,1.1.1.1,1.1.1.1,5,500,508,55,9.898588999931235,reply
1,baseline,,2026-09-15T19:29:47+10:00,1.1.1.1,1.1.1.1,6,500,508,55,21.552483000050415,reply
1,baseline,,2026-09-15T19:29:48+10:00,1.1.1.1,1.1.1.1,7,500,508,55,21.37497900002927,reply
